year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2012,Crafts,successful,297348.69,2519.904153,207711,1760.262712,118,5992
2012,Dance,canceled,5831,306.8947368,181500,9552.631579,19,94
2012,Dance,failed,112526.32,865.5870769,1965226.08,15117.12369,130,1770
2012,Dance,successful,1663936.61,4390.334063,1464628.11,3864.454116,379,22135
2012,Design,canceled,748464.97,5847.382578,4916887.08,38413.18031,128,7348
2012,Design,failed,3972642.77,4133.863444,32596474.59,33919.3284,961,45261
2012,Design,successful,45192884.29,60743.12405,12935039.48,17385.80575,744,473237
2012,Fashion,canceled,72879.65,528.1134058,1424605.24,10323.22638,138,952
2012,Fashion,failed,940518.38,906.9608293,11713248.58,11295.32168,1037,11452
2012,Fashion,successful,5054067.64,11726.37503,2529601.8,5869.145708,431,67065
2012,Film & Video,canceled,1012580.35,1520.390916,60225024.72,90427.96505,666,10434
2012,Film & Video,failed,8241428.12,1607.456236,210704425,41097.02067,5127,85539
2012,Film & Video,successful,48725017.81,12596.95393,40618873.6,10501.25998,3868,550565
2012,Food,canceled,122008.53,1129.708611,2258631.41,20913.2538,108,1675
2012,Food,failed,1841521.44,1789.622391,24330203.14,23644.51228,1029,23990
2012,Food,successful,9087404.21,13266.28352,7042010.62,10280.30747,685,111565
2012,Games,canceled,1332299.92,4229.523556,31039507.88,98538.12025,315,25565
2012,Games,failed,4859758.56,3374.832333,61875705.06,42969.23963,1440,90294
2012,Games,successful,74049555.4,81194.68794,23829918.1,26129.29616,912,1209381
2012,Journalism,canceled,12784.53,555.8491304,460095,20004.13043,23,264
2012,Journalism,failed,132810.62,804.9128485,2490822.62,15095.89467,165,1772
2012,Journalism,successful,1092412.88,11746.37505,791157.38,8507.068602,93,17448
2012,Music,canceled,207524.88,492.9332067,5427312.82,12891.47938,421,3255
2012,Music,failed,2554382.55,711.1309994,60937295.81,16964.72601,3592,38916
2012,Music,successful,32279899.41,6392.059289,25126750.06,4975.594071,5050,479275
2012,Photography,canceled,58457.22,671.922069,924960.07,10631.72494,87,693
2012,Photography,failed,550796.78,782.3817898,6645984.44,9440.318807,704,8671
2012,Photography,successful,2728655.02,6543.537218,2143774.61,5140.946307,417,37529
2012,Publishing,canceled,245015.32,671.2748493,6433621.32,17626.35978,365,3027
2012,Publishing,failed,2038969.09,612.1192104,42380510.33,12723.05924,3331,34157
2012,Publishing,successful,11782026,7290.857673,7833332.33,4847.359115,1616,208025
2012,Technology,canceled,328103.78,5291.996452,5165337.1,83311.88871,62,7532
2012,Technology,failed,2135870.44,4978.718974,17578071.32,40974.52522,429,21439
2012,Technology,successful,23649854.73,73905.79603,7438433.63,23245.10509,320,230433
2012,Theater,canceled,29668.62,423.8374286,774297,11061.38571,70,479
